y,x1,x2,x3,x4,x5,x6,
1.7315,0.092901,-0.3412,0.075113,-0.14785,-0.083949,0.42191,
-1.2539,-0.0074721,0.34587,-0.014945,-0.012606,-0.099218,0.14411,
-1.2092,0.026846,-0.31126,0.017807,-0.013591,-0.077242,0.36836,
-0.13115,0.025724,-0.014687,0.0083295,0.35588,0.021858,-0.45756,
1.3193,-0.034062,0.14677,-0.0083172,0.35604,0.16646,-0.36802,
0.22677,0.033929,-0.013911,0.00045649,0.015895,-0.11199,0.64978,
1.5772,0.071914,-0.12439,0.12921,0.28166,0.097153,-0.50072,
-4.4347,-0.027261,0.096271,-0.041611,-0.25863,-0.11909,0.3672,
1.7202,-0.026829,-0.26545,0.045393,0.22298,0.052576,0.089143,
-1.7338,0.034118,0.2132,-0.11468,-0.66433,-0.096029,0.81326,
-0.79069,0.09059,-0.49335,-0.020136,0.08258,-0.1147,0.52323,
0.54607,0.08747,0.09169,-0.053037,-0.21881,0.0014447,-0.81346,
0.7543,0.065204,-0.10148,0.073447,0.26011,0.026075,-0.1742,
0.53299,0.03914,-0.0092652,-0.04121,0.01403,0.058889,-0.76118,
1.0631,0.0066113,-0.11021,0.040273,0.49143,0.053866,0.010082,
1.3076,-0.020572,0.42608,-0.090731,-0.3916,0.081645,0.04705,
0.29846,0.0025788,-0.0030785,-0.0014267,-0.22437,-0.039311,-0.28736,
-1.6963,-0.039352,0.0049926,-0.10716,-0.030911,-0.044127,0.27574,
-0.35236,0.13243,-0.64798,0.092937,0.44986,0.10538,-0.4693,
-0.0092768,-0.097978,0.64357,-0.12293,-0.21719,-0.11244,0.26523,
0.139,0.086938,0.14003,0.018126,0.44726,0.06936,-0.77649,
-0.79584,-0.056231,0.018264,0.010122,0.1118,0.057427,-0.70244,
0.73147,-0.023471,0.044683,0.0073993,0.32266,0.053912,-0.061523,
-0.22412,-0.023361,0.24676,-0.02573,-0.1975,0.064653,-0.12117,
0.42067,0.055798,0.058585,0.01811,0.051651,-0.007002,0.39341,
-0.9974,-0.11204,0.19905,0.0060565,-0.11392,-0.02333,0.50721,
-1.3697,-0.067486,-0.043159,0.01922,-0.097355,-0.12952,0.81237,
0.43336,-0.0099973,-0.1896,0.039552,0.41569,-0.045729,0.25811,
1.0282,-0.011211,0.28767,0.042751,0.01292,0.025881,-0.17224,
-0.1259,0.027045,0.10021,-0.0037752,-0.17386,0.042151,-0.23509,
0.17144,-0.061709,0.26386,-0.027723,-0.017715,-0.058449,0.75021,
0.071119,-0.077561,0.79578,-0.12449,-0.38094,-0.089933,0.60085,
-1.2085,-0.078215,0.49509,-0.016083,-0.15747,0.0085305,-0.14926,
,0.93,-0.048409,-0.17181,-0.046846,-0.17071,0.047844,0.039346
1.3994,0.057131,-0.608,0.063468,0.45282,0.092489,-0.42835,
-0.24494,0.025137,-0.47329,0.045707,-0.12169,0.0037059,-0.82427,
0.18702,0.040627,-0.50022,0.11864,-0.14291,0.041638,0.26286,
-0.93975,-0.02608,0.068536,0.028824,0.13859,-0.022284,-0.090044,
0.52068,-0.051873,0.26038,-0.090735,-0.18863,0.011531,-0.41177,
1.1079,-0.005448,-0.063728,-0.030143,0.06451,0.045002,0.71646,
-0.44041,-0.045139,-0.41968,0.045525,-0.35407,-0.092396,0.52525,
1.8469,0.10728,-0.077975,-0.03972,-0.10721,-0.047503,0.9984,
0.79511,0.04152,-0.19023,-0.12882,-0.31789,-0.089445,1.0606,
0.069717,-0.02202,0.10053,0.061931,-0.10181,-0.088615,-0.46954,
0.15615,-0.094408,-0.0085966,0.047923,0.11826,-0.0049853,-0.51276,
-0.34492,0.0080459,0.11631,0.029647,-0.14107,-0.11573,1.0833,
-0.33442,0.014777,0.01164,-0.0014961,-0.11547,-0.0010732,-0.34465,
0.25407,-0.0354,0.15077,-0.052933,-0.4247,-0.0037054,-0.21543,
0.59912,0.021897,-0.17016,-0.020772,-0.36469,-0.10263,0.23989,
2.0097,0.11154,-0.043958,0.031121,0.24432,0.030595,0.015854,
0.71062,0.072442,-0.017979,0.051077,-0.57345,-0.18591,0.12073,
1.3733,-0.045888,-0.33953,0.069988,0.9078,0.18626,-1.0755,
-0.57416,0.0083087,-0.052321,-0.033507,0.029365,0.010367,0.8298,
2.2524,0.10329,-0.02114,0.072331,0.013226,-0.035689,0.40256,
-1.2778,-0.0092671,0.070127,-0.10538,-0.46513,-0.15931,1.0413,
-0.025214,-0.016793,0.2262,0.058088,0.2994,0.0075371,0.11002,
-0.61767,0.1065,0.090727,0.07207,0.60226,0.094646,-1.2295,
-0.89399,0.029097,0.19004,-0.038619,-0.013426,0.069237,-0.1504,
-0.12523,0.084081,-0.06558,-0.026025,-0.2766,-0.035336,-0.25577,
0.16976,0.010376,-0.22995,0.017902,-0.33614,-0.11841,1.1104,
-1.301,0.057647,-0.21549,0.078684,-0.03003,9.40E-05,-0.57931,
1.676,0.037048,-0.13111,0.085628,0.29106,0.097733,-0.18481,
-1.1002,-0.048868,-0.035971,0.021859,0.20451,0.037731,-0.40342,
0.13219,0.00385,0.19607,-0.056957,-0.19508,0.076442,-0.88605,
0.30724,-0.0027231,-0.090728,0.02142,-0.096894,-0.13837,1.0933,
-0.27934,0.056927,-0.68041,0.082262,0.21766,0.077451,-1.5553,
-1.4985,-0.030708,0.22367,-0.059749,-0.44653,-0.13888,0.68295,
-0.25416,-0.16643,0.69313,-0.027865,0.47235,0.10264,-1.0627,
0.42441,0.061821,-0.11439,0.02328,-0.035698,0.0098339,0.029459,
-0.50416,-0.016847,0.59415,-0.027287,-0.25112,-0.14632,0.75941,
-0.77,0.040233,-0.38234,0.09789,0.45618,0.1076,-0.84561,
-0.37775,0.031186,-0.3536,0.096927,0.07089,-0.022714,0.52588,
3.1209,0.18968,-0.56387,0.21124,1.0035,0.20087,0.23756,
-1.239,-0.045073,0.10178,-0.10506,-0.40045,-0.1221,0.93343,
0.313,-0.098059,0.43517,-0.0040295,0.1071,0.035138,0.19656,
1.6348,0.16069,-0.5471,0.021436,-0.50433,0.020928,0.35859,
0.53742,-0.012434,0.49908,-0.091039,-0.10012,-0.074831,0.93594,
-1.317,0.0139,-0.1386,0.0023619,0.49163,-0.10186,-0.41971,
-0.61644,-0.0082093,0.15167,0.035259,-0.12458,-0.042718,0.82076,
-0.84802,-0.03683,-0.06499,0.059636,-0.10063,-0.083667,0.41883,
-1.382,0.14065,-0.15406,-0.018532,-0.38188,-0.092159,0.1413,
-0.17501,0.14528,-0.54016,0.09001,-0.21094,0.01667,-0.41281,
0.035369,0.10608,-0.27706,0.08718,0.24502,0.10994,-0.44233,
-0.75371,0.063283,-0.7058,0.11814,0.49182,0.013723,-0.39519,
-0.19261,-0.069119,0.58333,-0.060823,-0.48005,-0.072999,0.70599,
-1.8816,-0.033663,0.21356,-0.049367,0.0099629,0.004226,-0.39947,
0.44779,-0.04634,0.24379,-0.074992,-0.22417,-0.010203,-0.3315,
1.7289,0.0075001,-0.21247,-0.0060378,0.077298,0.10175,0.055061,
0.47233,-0.0067573,0.39554,-0.10769,-0.2291,-0.12156,-0.107,
0.66739,-0.039375,0.09719,-0.011731,-0.52098,-0.13718,0.61767,
1.7636,-0.061082,-0.054843,0.038629,-0.00056662,-0.028051,-0.10053,
0.21024,0.12519,-0.63601,0.12338,0.33693,0.12834,-1.4306,
0.65697,0.0044825,0.14083,-0.0082192,0.24594,0.085363,-0.29315,
1.0042,0.048861,-0.30628,0.090511,0.12524,0.045519,-0.37867,
0.35106,-0.044579,0.31492,-0.039629,-0.60515,-0.15012,0.66367,
1.7319,0.046741,-0.43271,0.06184,0.47091,0.10748,0.04868,
1.4627,0.092141,-0.75935,0.12364,0.32216,0.052715,-0.32519,
0.97214,0.11403,-0.68191,0.075987,0.42386,0.04426,-0.14037,
0.26714,0.0019646,0.41175,-0.067343,-0.1642,0.02779,0.36324,
-0.722,0.027781,-0.30774,0.053322,0.13725,0.070747,-0.25941,
0.69136,-0.071666,0.45121,-0.027378,0.12995,0.033911,0.15408,
-1.2149,-0.027122,-0.36579,0.08269,0.20424,0.21043,-0.94914,
0.16761,-0.029785,0.46589,-0.17528,-0.27956,-0.05559,0.32317,
-0.46112,-0.021738,0.37104,-0.044749,0.028302,-0.0082987,0.47103,
-0.1071,-0.082224,0.3077,-0.072646,-0.28009,0.0073196,0.36747,
-1.3748,-0.12038,0.29324,-0.048488,-0.060199,0.026875,-0.01574,
2.3186,0.0045622,0.20415,-0.0044821,0.29419,0.028351,0.37394,
1.0672,-0.030381,0.10205,0.049904,-0.11604,0.098311,-0.74965,
0.19821,0.0078719,0.036645,0.023112,0.096064,0.018371,-0.4238,
-0.48179,0.0040666,0.23629,0.0073179,0.10354,0.011299,-0.56939,
-1.5946,-0.091336,0.22478,-0.017244,-0.068626,-0.075151,0.3589,
0.52973,-0.12915,0.48151,-0.026679,-0.37984,0.018581,-0.13847,
-1.7994,-0.032417,-0.0035523,0.065085,-0.08399,-0.016671,-0.58731,
1.7131,-0.025234,0.30381,0.056911,0.47395,0.019814,-0.036228,
-0.65826,-0.038344,0.12243,-0.038726,-0.42418,-0.060583,0.3333,
-0.07382,0.012046,-0.35236,0.020862,-0.23383,-0.0051695,0.50389,
1.0918,0.022222,0.034396,0.023718,0.62161,0.23462,-1.0097,
0.37624,-0.033299,-0.020083,0.049717,-0.30381,-0.0085903,0.30312,
0.41043,0.030357,-0.1871,0.040438,0.41748,0.1372,-0.64655,
-0.27322,0.096507,-0.40998,0.023034,-0.055994,-0.10829,0.30689,
0.51531,-0.093174,-0.050921,-0.036449,-0.17756,0.12218,-0.67283,
0.9763,-0.03763,-0.074348,0.030533,0.34976,0.096204,-0.96761,
4.928,0.039127,-0.20843,0.21289,1.1128,0.33359,-0.30164,
-1.8645,-0.07581,0.33119,-0.054588,-0.65409,-0.23489,1.2981,
2.1444,0.11263,-0.38893,0.077659,0.14555,0.043221,0.20995,
1.755,0.028331,0.1058,0.0065138,0.013989,0.068294,-0.14705,
1.753,-0.032518,0.46092,-0.027213,0.10149,0.050917,-0.08807,
1.3129,0.025202,0.20481,-0.026088,-0.23453,-0.023,0.062042,
-1.5306,0.0047774,0.79528,-0.069329,-0.43692,-0.17142,0.149,
-1.1427,0.057848,0.25023,-0.055808,-0.29898,-0.12061,0.71054,
-1.1372,0.11669,0.055766,-0.078321,-0.17507,-0.11333,0.57035,
-0.76786,0.15589,-0.45655,-0.01882,-0.22305,-0.053348,0.48942,
0.17928,0.035029,-0.046302,-0.079865,-0.16377,0.0066931,-0.68228,
0.31667,-0.063397,0.49886,0.045269,0.15119,0.013941,-1.1452,
0.57461,-0.01743,-0.13765,0.066497,0.03142,0.098401,-0.27596,
-1.0462,0.021474,0.0018034,0.0028679,-0.050926,0.0039606,-0.036035,
0.29939,-0.023367,0.05606,-0.070835,-0.52694,-0.14575,0.97716,
2.1827,0.06096,0.070153,0.011317,0.15981,-0.099998,0.82949,
-0.2799,0.026584,0.32657,-0.065648,-0.63997,-0.26011,1.0307,
4.5685,0.1309,-0.19466,0.12347,0.65246,0.026785,1.2444,
-0.29768,0.0042715,0.3226,-0.065735,-0.39712,-0.19345,1.7126,
1.2926,-0.028257,-0.1115,0.0075827,0.19777,0.14095,-0.01509,
1.5889,0.05354,-0.12845,0.071665,-0.051502,-0.011353,-0.065401,
1.467,0.030517,0.25181,0.011858,0.01656,0.0030398,-0.029686,
0.52028,-0.0074741,0.12599,0.010226,-0.055943,-0.17686,0.82235,
-0.31209,0.056293,-0.56699,0.11558,0.63391,0.20061,-0.92648,
1.9283,0.1127,-0.8158,0.070014,0.53615,0.1489,-0.1915,
0.32346,-0.10404,-0.14135,-0.0010947,-0.11269,0.066562,-0.49855,
4.8243,0.22867,-0.8112,0.24938,0.84157,-0.031278,0.89688,
-1.8262,-0.16785,0.78911,-0.18895,-1.245,-0.25002,0.34366,
1.2119,0.015744,-0.055479,0.013283,-0.073816,-0.14065,0.95521,
1.7115,-0.033881,0.27389,0.039049,0.28284,0.12606,-0.6467,
0.19075,-0.071931,-0.26459,0.071172,-0.001699,0.11574,-1.2771,
1.0335,0.0097242,-0.030379,0.011492,0.042789,0.057288,-0.02357,
-0.19964,-0.036824,0.095552,0.029025,-0.078987,0.0076242,-0.53086,
-0.019407,-0.024754,-0.25019,0.037264,-0.10181,-0.10827,0.44718,
